NAME,GYM,DOB,HEIGHT,WEIGHT
"MATT GRICE","R-1 MMA","1981-07-29","5'8'","145 LBS"
"MATT HUGHES","HIT Squad","1973-10-13","5'9'","170 LBS"
"MATT SAYLES","Alliance MMA","1994-02-21","5'7'","145 LBS"
"MATT SCHNELL","American Top Team","1990-01-15","5'8'","125 LBS"
"MATT SERRA","Serra-Longo Fight Team","1974-06-02","5'6'","170 LBS"
"MATT WIMAN","Skrap Pack","1983-09-19","5'10'","155 LBS"
"MATTHEW LOPEZ","Genesis Training Center","1987-01-21","5'7'","135 LBS"
"MAURICE GREENE","","1986-07-05","6'7'","265 LBS"
"MAURICIO RUA","Universidade da Luta","1981-11-25","6'1'","205 LBS"
"MAX GRIFFIN","Marinoble's Martial Arts","1985-11-29","5'11'","170 LBS"
"MAX HOLLOWAY","Gracie Technics / Hawaii Elite MMA","1991-12-04","5'11'","145 LBS"
"MAYCEE BARBER","Fort Collins Martial Arts","1998-05-18","5'5'","115 LBS"
"MAYRA BUENO SILVA","Chute Boxe Diego Lima / Chute Boxe Team Cyborg","1991-08-22","5'7'","125 LBS"
"MEGAN ANDERSON","Glory MMA & Fitness","1990-02-11","6'0'","145 LBS"
"MELISSA GATTO","Spartacus Academy / Team Bronx Cascavel","1996-05-02","5'5'","125 LBS"
"MERAB DVALISHVILI","Serra-Longo Fight Team","1991-01-10","5'6'","135 LBS"
"MICHAEL CHIESA","Sikjitsu","1987-12-07","6'1'","155 LBS"
"MICHAEL JOHNSON","Hard Knocks 365","1986-06-04","5'10'","145 LBS"
"MICHAEL TRIZANO","Team Tiger Schulmann","1991-12-31","5'11'","155 LBS"
"MICHAL OLEKSIEJCZUK","Gornik Leczna","1995-02-22","6'0'","205 LBS"
"MICHEL PEREIRA","Scorpion Fighting System / Team Demolidor","1993-10-06","6'1'","170 LBS"
"MICHEL PRAZERES","Coalizao Fight Team / Frankiko Team / Trator Team","1981-07-25","5'6'","170 LBS"
"MICHELLE WATERSON","Jackson-Wink MMA","1986-01-06","5'3'","115 LBS"
"MICKEY GALL","Miller Brothers MMA","1992-01-22","6'2'","170 LBS"
"MIESHA TATE","Xtreme Couture","1986-08-18","5'6'","135 LBS"
"MIKE DAVIS","Pete White Boxing and MMA","1992-10-07","6'0'","145 LBS"
"MIKE GRUNDY","Team Kaobon Wigan","1987-03-01","5'8'","145 LBS"
"MIKE JACKSON","4oz. Fight Club","1985-03-22","6'2'","170 LBS"
"MIKE PERRY","Fusion X-Cel","1991-09-15","5'10'","170 LBS"
"MIKE RODRIGUEZ","Lauzon MMA","1988-11-28","6'3'","205 LBS"
"MIKE SWICK","AKA Thailand","1979-06-19","6'1'","170 LBS"
"MILES JOHNS","Fortis MMA","1994-03-30","5'7'","135 LBS"
"MINOTAURO NOGUEIRA","Team Nogueira","1976-06-02","6'3'","240 LBS"
"MIRANDA GRANGER","","1992-04-13","5'7'","115 LBS"
"MIRSAD BEKTIC","Tristar Gym","1991-02-16","5'8'","145 LBS"
"MISHA CIRKUNOV","Xtreme Couture","1987-02-27","6'3'","205 LBS"
"MITCH CLARKE","","1985-11-24","5'10'","154 LBS"
"MITCH GAGNON","Troop MMA","1984-10-10","5'6'","135 LBS"
"MIZUKI INOUE","Hakushinkai Karate","1994-08-19","5'4'","114 LBS"
"MIZUTO HIROTA","Cave","1981-05-05","5'7'","155 LBS"
"MOLLY MCCANN","Next Generation MMA Liverpool","","5'4'","125 LBS"
"MONTANA DE LA ROSA","Team Takedown","1995-02-14","5'7'","125 LBS"
"MONTEL JACKSON","Red Schafer MMA","1992-04-24","5'10'","135 LBS"
"MOVSAR EVLOEV","Nart","1994-02-11","5'8'","135 LBS"
"MUSLIM SALIKHOV","Fighting Eagle","1984-06-09","5'11'","170 LBS"
"MYLES JURY","Power MMA","1988-10-31","5'11'","145 LBS"
"NAD NARIMANI","Team Alpha Male","1987-04-14","5'8'","145 LBS"
"NADIA KASSEM","Australian Top Team","1995-11-15","5'5'","120 LBS"
"NAOKI INOUE","Hakushinkai Karate","1997-06-14","5'8'","125 LBS"
"NASRAT HAQPARAST","Tristar Gym","1995-08-22","5'10'","155 LBS"
"NATE DIAZ","Cesar Gracie Fight Team","1985-04-16","6'0'","155 LBS"
"NATHANIEL WOOD","Nova Forca / Team Titan","1993-08-05","5'6'","135 LBS"
"NAZARENO MALEGARIE","Team Tavares","1986-05-16","5'8'","145 LBS"
"NICCO MONTANO","Fit NHB","1988-12-16","5'5'","125 LBS"
"NICK DIAZ","Cesar Gracie Fight Team","1983-08-02","6'1'","170 LBS"
"NICK HEIN","Tiger Muay Thai","1984-04-24","5'6'","155 LBS"
"NICOLAE NEGUMEREANU","Korona Sports Centre","1994-09-04","","205 LBS"
"NIK LENTZ","Hard Knocks 365","1984-08-13","5'8'","155 LBS"
"NIKITA KRYLOV","Industrials","1992-03-07","6'3'","205 LBS"
"NIKO PRICE","Futures MMA","1989-09-29","6'0'","170 LBS"
"NINA ANSAROFF","American Top Team","1985-12-03","5'5'","116 LBS"
"NOHELIN HERNANDEZ","American Kickboxing Academy","1994-03-01","5'10'","135 LBS"
"NORDINE TALEB","Tristar Gym","1981-06-10","6'1'","170 LBS"
"NORIFUMI YAMAMOTO","Krazy Bee","1977-03-15","5'4'","135 LBS"
"OLAF ALFONSO","","","5'9'","150 LBS"
"OLIVIER AUBIN-MERCIER","H2O MMA / Tristar Gym","1989-02-23","5'9'","155 LBS"
"OMARI AKHMEDOV","American Top Team","1987-10-12","6'0'","170 LBS"
"OSKAR PIECHOTA","Piranha Grappling Team","1990-01-24","6'0'","185 LBS"
"OTTMAN AZAITAR","Jupps Fight Team","1990-02-20","5'7'","170 LBS"
"OVINCE SAINT PREUX","Knoxville MMA","1983-04-08","6'3'","205 LBS"
"PADDY HOLOHAN","SBG Ireland","1988-05-03","5'9'","125 LBS"
"PAIGE VANZANT","Gracie Barra Portland","1994-03-26","5'4'","125 LBS"
"PANNIE KIANZAD","Arte Suave Copenhagen","1991-12-08","5'7'","135 LBS"
"PASCAL KRAUSS","Peak MMA / Roufusport","1987-04-19","6'1'","170 LBS"
"PATRICK COTE","BTT Canada","1980-02-29","5'11'","170 LBS"
"PATRICK CUMMINS","Reign MMA / Kings MMA","1980-11-16","6'2'","205 LBS"
"PAUL CRAIG","Scottish Hit Squad","1987-11-27","6'4'","205 LBS"
"PAUL FELDER","Roufusport","1985-04-25","5'10'","170 LBS"
"PEDRO MUNHOZ","American Top Team","1986-09-07","5'6'","135 LBS"
"PETER SOBOTTA","Planet Eater","1987-01-11","6'0'","170 LBS"
"PETR YAN","Archangel Michael Club","1993-02-11","5'7'","135 LBS"
"POLIANA BOTELHO","Nova Uniao","1988-12-15","5'5'","125 LBS"
"POLYANA VIANA","Tata Fight Team","1992-06-14","5'7'","115 LBS"
"PRISCILA CACHOEIRA","Parana Vale Tudo","1988-08-19","5'7'","125 LBS"
"RACHAEL OSTOVICH","Jesus Is Lord","1991-02-25","5'3'","126 LBS"
"RAFAEL DOS ANJOS","Evolve MMA / RDA Academy","1984-10-26","5'9'","170 LBS"
"RAFAEL FIZIEV","Phuket Top Team","1993-03-05","5'8'","155 LBS"
"RAFAEL NATAL","Renzo Gracie Jiu-Jitsu","1982-12-25","6'0'","185 LBS"
"RAMAZAN EMEEV","American Top Team","1987-05-20","5'10'","170 LBS"
"RANDA MARKOS","Michigan Top Team","1985-08-10","5'5'","115 LBS"
"RANDY BROWN","Budokan Martial Arts Academy","1990-07-08","6'3'","171 LBS"
"RANDY COSTA","Lauzon MMA","1994-07-06","5'10'","135 LBS"
"RANI YAHYA","Constrictor Team","1984-12-09","5'6'","135 LBS"
"RAONI BARCELOS","Rizzo RVT / Laerte Barcelos Team","1987-05-01","5'7'","145 LBS"
"RAPHAEL ASSUNCAO","Ascension MMA","1982-07-19","5'5'","135 LBS"
"RAPHAEL PESSOA NUNES","Evolucao Thai","1989-03-09","6'4'","247 LBS"
"RAQUEL PENNINGTON","Altitude MMA","1988-09-05","5'7'","135 LBS"
"RASHAD COULTER","Fortis MMA","1981-11-27","5'11'","208 LBS"
"RASHAD EVANS","Hard Knocks 365","1979-09-25","5'11'","205 LBS"
"RAULIAN PAIVA","Team Alpha Male / Ronildo Nobre Judo Club","1995-10-17","5'8'","125 LBS"
"RAY BORG","Fit NHB","1993-08-04","5'4'","135 LBS"
"RENAN BARAO","American Top Team","1987-01-31","5'7'","135 LBS"
"RENATO MOICANO","First Fight Center / American Top Team","1989-05-21","5'11'","145 LBS"
"RICARDO ABREU","Wand Fight Team","1984-04-27","5'11'","185 LBS"
"RICARDO LAMAS","MMA Masters / Top Notch Fitness","1982-05-21","5'8'","145 LBS"
"RICARDO RAMOS","China Team","1995-08-01","5'9'","135 LBS"
"RICK GLENN","Team Alpha Male","1989-04-12","6'0'","145 LBS"
"RICKY RAINEY","Renegade Fighting Systems","1983-06-29","6'1'","171 LBS"
"RICKY SIMON","Gracie Barra Portland","1992-08-31","5'6'","135 LBS"
"ROB FONT","Team Sityodtong","1987-06-25","5'8'","135 LBS"
"ROBBIE LAWLER","Combat Club","1982-03-20","5'11'","170 LBS"
"ROBERT WHITTAKER","PMA Super Martial Arts","1990-12-20","5'11'","185 LBS"
"ROBERTO SANCHEZ","Gracie Barra Texas / Etre Fit","1986-03-05","5'6'","125 LBS"
"ROCCO MARTIN","American Top Team","1989-12-11","6'0'","170 LBS"
"RODOLFO VIEIRA","Fusion X-Cel","1989-09-25","5'11'","185 LBS"
"ROGERIO BONTORIN","Gile Ribeiro Team","1992-04-25","5'5'","125 LBS"
"ROLANDO DY","Biagtan Muay Thai / Kratos MMA","1991-08-11","5'8'","145 LBS"
"RONALDO SOUZA","Fusion X-Cel","1979-12-07","6'1'","184 LBS"
"RONNY MARKES","Nova Uniao Kimura","1988-04-21","6'1'","210 LBS"
"ROOSEVELT ROBERTS","Adrenaline Martial Arts","1994-02-11","6'1'","155 LBS"
"ROSE NAMAJUNAS","303 Training Center","1992-06-29","5'5'","115 LBS"
"ROSS PEARSON","Central Coast MMA","1984-09-26","5'8'","155 LBS"
"ROSTEM AKMAN","Fightzone Stockholm","","6'0'","170 LBS"
"ROXANNE MODAFFERI","Syndicate MMA","1982-09-24","5'6'","126 LBS"
"RUSLAN MAGOMEDOV","Fight Club Berkut","1986-11-26","6'3'","249 LBS"
"RUSTAM KHABILOV","Jackson-Wink MMA","1986-11-04","5'8'","155 LBS"
"RYAN BENOIT","Janjira Muay Thai","1989-08-25","5'5'","125 LBS"
"RYAN HALL","50 / 50 BJJ / Tristar Gym","1985-02-22","5'10'","145 LBS"
"RYAN JANES","Zugec Ultimate Martial Arts","1981-08-22","6'3'","185 LBS"
"RYAN LAFLARE","Long Island MMA","1983-10-01","6'1'","170 LBS"
"RYAN MACDONALD","Disorderly Conduct","1993-03-18","5'11'","135 LBS"
"RYAN SPANN","Performance Evolution Training Center","1991-08-24","6'5'","205 LBS"
"SABAH HOMASI","American Top Team","1988-10-19","6'0'","179 LBS"
"SABINA MAZO","Kings MMA","1997-03-25","5'7'","125 LBS"
"SAGE NORTHCUTT","Team Alpha Male","1996-03-01","6'0'","170 LBS"
"SAID NURMAGOMEDOV","Akhmat Fight Team","1992-04-05","5'8'","125 LBS"
"SALIM TOUAHRI","Grappling Krakow","1989-09-28","5'10'","170 LBS"
"SAM ALVEY","Team Quest","1986-05-06","6'2'","205 LBS"
"SAM STOUT","Team Tompkins / Syndicate MMA","1984-04-23","5'9'","155 LBS"
"SAPARBEK SAFAROV","","1986-10-14","6'1'","205 LBS"
"SARAH FROTA","Astra Fight Team","1987-04-14","5'6'","115 LBS"
"SARAH MORAS","Toshido Mixed Martial Arts","1988-04-30","5'7'","135 LBS"
"SCOTT HOLTZMAN","Shield Systems / MMA Lab","1983-09-30","5'9'","155 LBS"
"SCOTT MCAFEE","Team Alpha Male","1983-08-23","5'8'","155 LBS"
"SEAN BRADY","Renzo Gracie Philly","1992-11-23","5'9'","169 LBS"
"SEAN O'MALLEY","MMA Lab","1994-10-24","5'11'","135 LBS"
"SEAN PIERSON","Tap Star","1976-03-10","6'1'","170 LBS"
"SEAN STRICKLAND","CQuence Jiu-Jitsu","1991-02-27","6'1'","171 LBS"
"SERGEI PAVLOVICH","Eagles MMA","","6'3'","238 LBS"
"SERGEY KHANDOZHKO","Industrials","1992-05-19","6'1'","170 LBS"
"SERGIO MORAES","Evolucao Thai","1982-07-23","6'0'","170 LBS"
"SERGIO PETTIS","Roufusport","1993-08-18","5'6'","125 LBS"
"SEUNGWOO CHOI","MOB Training Center","1992-11-03","5'11'","145 LBS"
"SHAMIL ABDURAKHIMOV","Peresvet FT","1981-09-02","6'3'","261 LBS"
"SHANA DOBSON","Team Lloyd Irvin","1989-03-30","5'6'","125 LBS"
"SHANE BURGOS","Team Tiger Schulmann","1991-03-19","5'11'","145 LBS"
"SHANE YOUNG","City Kickboxing","1993-07-31","5'8'","145 LBS"
"SHELDON WESTCOTT","Complete Fitness and Martial Arts","1984-08-20","6'1'","170 LBS"
"SHEYMON MORAES","Black House","1990-10-11","5'8'","145 LBS"
"SIJARA EUBANKS","Team Lloyd Irvin","1985-04-27","5'4'","125 LBS"
"SIYAR BAHADURZADA","Jackson-Wink MMA","1984-04-17","5'11'","170 LBS"
"SODIQ YUSUFF","Team Lloyd Irvin","1993-05-19","5'9'","145 LBS"
"SONG KENAN","Jackson-Wink MMA","1990-03-10","6'0'","170 LBS"
"SONG YADONG","Team Alpha Male","1997-12-02","5'8'","145 LBS"
"STEFAN SEKULIC","Family Fight Team","1992-02-12","6'1'","185 LBS"
"STEFAN STRUVE","Team Schrijber","1988-02-18","7'0'","265 LBS"
"STEPHEN THOMPSON","Team Upstate Karate / Pitch Black MMA","1983-02-11","6'0'","170 LBS"
"STEVEN PETERSON","Fortis MMA","1990-05-29","5'9'","145 LBS"
"STEVIE RAY","Elite Team","","",""
"STIPE MIOCIC","Strong Style Fight Team","1982-08-19","6'4'","245 LBS"
"SU MUDAERJI","Enbo Gedou","1996-01-20","5'8'","135 LBS"
"SULTAN ALIEV","American Top Team","1984-09-17","5'11'","170 LBS"
"SUMAN MOKHTARIAN","Australian Top Team","1992-06-13","5'10'","145 LBS"
"SYURI KONDO","Vos Gym / AACC","1989-02-08","5'4'","115 LBS"
"T J DILLASHAW","The Treigning Lab","1986-02-07","5'6'","135 LBS"
"TAI TUIVASA","Lions High Performance Centre","1993-03-16","6'2'","265 LBS"
"TAILA SANTOS","Astra Fight Team","1993-06-22","5'5'","125 LBS"
"TAKASHI SATO","Tribe Tokyo MMA","1990-06-09","5'10'","170 LBS"
"TALITA BERNARDO","Imperio Fight","1987-03-04","5'4'","135 LBS"
"TANNER BOSER","Shaved Bears MMA","1991-08-02","6'2'","258 LBS"
"TAREC SAFFIEDINE","Tristar Gym","1986-09-06","5'9'","169 LBS"
"TATIANA SUAREZ","Millennia MMA","1990-12-19","5'5'","115 LBS"
"TE EDWARDS","MMA Lab","1990-09-11","5'8'","155 LBS"
"TECIA TORRES","American Top Team","1989-08-16","5'1'","115 LBS"
"TEEMU PACKALEN","Finnfighters Gym","1987-05-22","6'1'","155 LBS"
"TERRION WARE","Fight Science","1986-03-31","5'8'","135 LBS"
"TERUTO ISHIHARA","Team Alpha Male","1991-07-23","5'7'","135 LBS"
"THALES LEITES","Nova Uniao","1981-09-06","6'1'","185 LBS"
"THIAGO ALVES","American Top Team","1983-10-03","5'10'","170 LBS"
"THIAGO MOISES","American Top Team","1995-03-23","5'9'","155 LBS"
"THIAGO SANTOS","Tata Fight Team","1984-01-07","6'2'","185 LBS"
"THIBAULT GOUTI","Jackson-Wink MMA","1987-02-27","5'10'","155 LBS"
"THOMAS ALMEIDA","Chute Boxe Diego Lima / Macaco Gold Team","1991-07-31","5'7'","135 LBS"
"THOMAS GIFFORD","Sheridan Boxing Club","1992-07-26","6'1'","155 LBS"
"TIM BOETSCH","Team Irish","1981-01-28","6'0'","185 LBS"
"TIM KENNEDY","Jackson-Wink MMA","1979-09-01","5'11'","185 LBS"
"TIM MEANS","Fit NHB","1984-02-20","6'2'","170 LBS"
"TIM WILLIAMS","Team Balance","1986-07-03","6'2'","185 LBS"
"TINA LAHDEMAKI","RNC Sport Club","1988-05-28","5'2'","115 LBS"
"TODD DUFFEE","American Kickboxing Academy","1985-12-06","6'3'","241 LBS"
"TOM BREESE","Tristar Gym","1991-09-26","6'3'","170 LBS"
"TOM DUQUESNOY","Jackson-Wink MMA","1993-06-21","5'7'","135 LBS"
"TONY FERGUSON","Team Death Clutch","1984-02-12","6'0'","155 LBS"
"TONYA EVINGER","W4R Training Center","1981-06-04","5'7'","135 LBS"
"TREVIN GILES","Texas Elite MMA","1992-08-06","6'0'","185 LBS"
"TREVOR SMITH","Ring Demon Jiu-Jitsu","1981-01-05","6'3'","185 LBS"
"TYRON WOODLEY","American Top Team Evolution","1982-04-17","5'9'","170 LBS"
"TYSON PEDRO","Lions High Performance Centre","1991-09-17","6'3'","205 LBS"
"ULKA SASAKI","Wajutsu Keishukai Suruga","1989-10-07","5'10'","125 LBS"
"URIAH HALL","Fortis MMA","1984-07-31","6'0'","186 LBS"
"URIJAH FABER","Team Alpha Male","1979-05-14","5'6'","135 LBS"
"VALENTINA SHEVCHENKO","Tiger Muay Thai","1988-03-07","5'5'","125 LBS"
"VERONICA MACEDO","MMA Factory","1995-10-30","5'3'","125 LBS"
"VICENTE LUQUE","Cerrado MMA","1991-11-27","5'11'","170 LBS"
"VINC PICHEL","","1982-11-23","5'10'","155 LBS"
"VINCE MORALES","Freak-Jitsu","1990-11-12","5'7'","135 LBS"
"VINCE MURDOCK","Team Alpha Male","1991-03-21","5'7'","143 LBS"
"VINICIUS CASTRO","Five Rounds","1989-02-28","6'4'","205 LBS"
"VINICIUS MOREIRA","Five Rounds","1989-02-28","6'4'","205 LBS"
"VIRNA JANDIROBA","Fight House / Team Velame","1988-05-30","5'3'","115 LBS"
"VIVIANE ARAUJO","Cerrado MMA / Companhia Athletica","1986-11-21","5'5'","125 LBS"
"VOLKAN OEZDEMIR","Hard Knocks 365","1989-09-19","6'1'","205 LBS"
"WALT HARRIS","American Top Team","1983-06-10","6'5'","252 LBS"
"WANG GUAN","American Top Team","1986-03-14","5'11'","145 LBS"
"WARLLEY ALVES","X-Gym","1991-01-04","5'11'","170 LBS"
"WELLINGTON TURMAN","Gile Ribeiro Team","1996-07-22","6'0'","185 LBS"
"WILSON REIS","Brazilian Jiu-Jitsu United / Godoi Jiu-Jitsu","1985-01-06","5'4'","125 LBS"
"WU YANAN","","1996-04-18","5'8'","125 LBS"
"WULIJI BUREN","","1990-03-01","5'9'","135 LBS"
"XIAONAN YAN","China Top Team","1989-06-16","5'5'","114 LBS"
"YAIR RODRIGUEZ","Valle Flow Striking","1992-10-06","5'11'","145 LBS"
"YANA KUNITSKAYA","Jackson-Wink MMA","1989-11-11","5'6'","135 LBS"
"YANCY MEDEIROS","Team Hakuilua","1987-09-07","5'10'","170 LBS"
"YOEL ROMERO","American Top Team","1977-04-30","5'10'","185 LBS"
"YOSHIHIRO AKIYAMA","Jackson-Wink MMA","1975-07-29","5'10'","170 LBS"
"YUSHIN OKAMI","Wajutsu Keishukai Tokyo","1981-07-21","6'2'","185 LBS"
"YVES EDWARDS","American Top Team","1976-09-30","5'10'","155 LBS"
"ZABIT MAGOMEDSHARIPOV","Ricardo Almeida Jiu-Jitsu","1991-03-01","6'1'","145 LBS"
"ZAK CUMMINGS","Glory MMA and Fitness","1984-08-02","6'0'","170 LBS"
"ZAK OTTOW","Pura Vida BJJ","1986-12-22","5'11'","170 LBS"
"ZHANG WEILI","Black Tiger Fight Club","1989-08-13","5'4'","115 LBS"
"ZUBAIRA TUKHUGOV","Tiger Muay Thai","1991-01-15","5'8'","145 LBS"
